name,latitude,longitude
Mercyhurst University,42.1041456,-80.05388512
University of Michigan-Flint,43.0190005,-83.68894301
Morningside College,42.4744179,-96.36011665
College of Mount Saint Vincent,40.9128739,-73.90681784
University of Mount Union,40.9042387,-81.11068655
Mount Vernon Nazarene University,40.3756092,-82.46942549
University of Nebraska Omaha,41.25779325,-96.0104763
University of New Hampshire,43.1369862,-70.93188194
University of New Haven,41.2910574,-72.96211309
New Mexico State University (Main campus),32.27673635,-106.7477521
University of North Carolina at Asheville,35.6164875,-82.5665082
University of North Carolina at Charlotte,35.3062303,-80.73449136
University of North Carolina at Greensboro,36.0692151,-79.8097881
North Central College,41.77421435,-88.14562485
Northeastern State University,35.92390985,-94.96819787
Northern Arizona University,35.1851087,-111.655837
University of Northern Iowa,42.51409905,-92.4629133
Northwestern College,42.9988704,-96.05432154
Norwich University,44.13917905,-72.66126955
Old Dominion University,36.8862699,-76.30972479
Otterbein University,40.12769685,-82.93625856
Portland State University,45.51181205,-122.68493
Queens University of Charlotte,35.18876075,-80.83341174
Ramapo College of New Jersey,41.08227485,-74.17383617
Robert Morris University,40.52155855,-80.21157832
SUNY College at Brockport,43.209853,-77.95135867
SUNY Cortland,42.5927112,-76.19617275
SUNY at Fredonia,42.4537519,-79.3359844
SUNY Geneseo,42.79472665,-77.82271333
SUNY Oneonta,42.80154435,-74.93066701
SUNY Oswego,43.4520133,-76.5418451
SUNY Potsdam,44.6606505,-74.97047884
Sacred Heart University,41.22259745,-73.2444673
Saint Xavier University,41.70792405,-87.71463118
Salisbury University,38.34520265,-75.60669776
Sam Houston State University,30.7133471,-95.54491358
Schreiner University,30.03168835,-99.13014961
Sonoma State University,38.33982655,-122.6734192
South Dakota State University,44.32019135,-96.78399049
Southern Adventist University,35.04866285,-85.0507503
Southern Illinois University Edwardsville,38.7926071,-89.99578734
University of Southern Mississippi,31.3285925,-89.33647718
Tennessee Technological University,36.1748745,-85.50890527
Texas A&M International University,27.5727681,-99.4351153
University of Texas Rio Grande Valley,26.30715335,-98.17281873
Texas State University,29.8884765,-97.94479886
University of Texas at Tyler,32.3163078,-95.25369944
Texas Woman's University,33.226547,-97.12671074
Truman State University,40.184327,-92.58258315
Waynesburg University,39.8992531,-80.18633972
Wentworth Institute of Technology,42.33659295,-71.09535993
West Virginia Wesleyan College,38.9956666,-80.2264591
Whitworth University,47.75434905,-117.417923
William Paterson University of New Jersey,40.947469,-74.19655436
Wisconsin Lutheran College,43.03726535,-88.02194662
University of Wisconsin-Milwaukee,43.07797955,-87.88181532
University of Akron,41.07604775,-81.51198858
Albertus Magnus College,41.3327975,-72.92262632
Alvernia University,40.3099619,-75.9353046
Anderson University (South Carolina),34.51478935,-82.63874688
Appalachian State University,36.21250185,-81.68510066
Ashland University,40.8615854,-82.32182645
Ball State University,40.20978805,-85.41120882
Bemidji State University,47.4850208,-94.87407843
Benedictine College,39.57459855,-95.11302356
Bloomsburg University of Pennsylvania,41.00889635,-76.44714038
Boise State University,43.6047282,-116.2039495
Bowling Green State University,41.3810557,-83.6296737
University of Bridgeport,41.1648663,-73.1902529
Bridgewater College,38.3772478,-78.9715026
Bridgewater State University,41.9882888,-70.96357989
CUNY John Jay College of Criminal Justice,40.7707237,-73.9892342
CUNY College of Staten Island,40.6021388,-74.1503817
California Baptist University,33.9283239,-117.4259206
California University of Pennsylvania,40.06440075,-79.88442144
Carroll University,43.00395265,-88.22926409
Carthage College,42.6228148,-87.82233557
Centenary University,40.8470669,-74.83510072
Central Michigan University,43.58354995,-84.77464036
University of Central Missouri,38.75751565,-93.74083106
University of Central Oklahoma,35.65573025,-97.47032859
Christopher Newport University,37.0637523,-76.49561542
Clarion University of Pennsylvania,41.2099684,-79.37779992
Clark Atlanta University,33.7507255,-84.41155405
Coastal Carolina University,33.7953292,-79.01271035
University of Colorado Colorado Springs,38.8924932,-104.7996978
Colorado Mesa University,39.0821928,-108.5560288
Columbia College Chicago,41.8742404,-87.6247913
Columbus State University,32.5020245,-84.94158331
Concordia University Irvine,33.65386955,-117.8109155
Corban University,44.8841257,-122.9544422
Cornerstone University,42.98088915,-85.59574235
Curry College,42.2378786,-71.11471155
D'Youville College,42.9032425,-78.89059568
Delaware Valley University,40.29314845,-75.15994121
Drury University,37.2182356,-93.28464721
University of Dubuque,42.495065,-90.69653904
East Central University,34.77281745,-96.66141628
East Stroudsburg University,40.9979175,-75.17268177
East Tennessee State University,36.3022214,-82.36945751
